id,latitude,longitude,FT,LA,LDMC,SLA,S,C,R,Strategy,color,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
100000,54.6833,25.3167,27.75,199.4564203,84.21631755,82.15537918,0,8.995781239,91.00421876,R,#070149,62,81,25,8326,223,-89,312,166,-39,166,-47,663,82,33,26,227,112,227,127
104,48.5167,-4.06667,74.75,500.177572,137.4503986,37.32830574,0,22.78989828,77.21010172,R/CR,#2A0127,108,63,37,3807,199,32,167,69,155,158,60,1055,135,47,32,380,162,190,365
146,48.5167,-4.06667,35.5,308.749003,81.9999258,74.17091205,0,12.49590753,87.50409247,R,#100140,108,63,37,3807,199,32,167,69,155,158,60,1055,135,47,32,380,162,190,365
157,48.5167,-4.06667,52.5,520.328603,91.12543223,54.74232102,0,19.14831352,80.85168648,R/CR,#210130,108,63,37,3807,199,32,167,69,155,158,60,1055,135,47,32,380,162,190,365
159,47.35,3.93333,46.75,474.1535194,92.69289177,58.51997791,0,17.69340717,82.30659283,R/CR,#1D0134,100,82,33,5854,232,-11,243,34,61,173,22,808,79,54,12,218,173,211,210
185,47.3833,5.31667,48.5,501.1855225,80.81417699,58.45129072,0,18.23041525,81.76958475,R/CR,#1E0133,106,89,34,6300,249,-12,261,186,68,186,23,798,78,52,13,212,168,212,195
194,47.3833,5.31667,66.25,418.0276862,152.5968266,31.97801042,0,22.84762822,77.15237178,R/CR,#2A0127,106,89,34,6300,249,-12,261,186,68,186,23,798,78,52,13,212,168,212,195
2,45.2667,1.48333,77.25,299.865785,175.5066777,29.90585925,7.972631195,18.41074164,73.61662717,R/CR,#1F101E,117,106,41,5492,259,3,256,55,81,187,45,917,93,57,12,255,212,212,246
203,47.3833,5.31667,66.25,480.8578842,112.37596,40.38791415,0,21.39047405,78.60952595,R/CR,#27012A,106,89,34,6300,249,-12,261,186,68,186,23,798,78,52,13,212,168,212,195
219,47.3833,5.31667,45,359.3619659,81.19397687,71.29437009,0,13.91073223,86.08926777,R,#13013E,106,89,34,6300,249,-12,261,186,68,186,23,798,78,52,13,212,168,212,195
252,48.6667,-4.06667,44.5,357.8196807,87.92621628,58.20699597,0,15.17435214,84.82564786,R,#17013A,112,63,37,3816,203,36,167,74,160,162,65,1001,127,45,32,359,153,180,346
258,46.65,-0.25,55.25,589.0491688,102.5892387,39.50410846,0,23.92655,76.07345,R/CR,#2D0124,112,89,38,5326,242,9,233,53,181,181,44,783,88,47,18,248,158,158,226
