id,Name,Country,Latitude (º),Longitude (º),Altitude (meters),drought_index,PC1,PC2,PC3,Group,Survival_insitu_Madrid,Survival_insitu_Tübingen
159,MAR2-3,FRA,47.35,3.93333,423,-0.000591739,0.0114525,-0.0212091,0.010895,CEurope,0.2,1
265,PYL-6,FRA,44.65,-1.16667,31,0.000371342,0.00398927,-0.00771548,-0.0270959,CEurope,0.4,1
350,TOU-A1-88,FRA,46.6667,4.11667,246,NA,0.0112512,-0.0229283,0.0143931,CEurope,NA,NA
351,TOU-A1-89,FRA,46.6667,4.11667,246,NA,0.0105935,-0.022008,0.0136122,CEurope,NA,NA
403,Zdarec3,CZE,49.3667,16.2667,422,NA,0.0141786,0.000284153,0.0164383,EEurope,NA,NA
424,Draha2,CZE,49.4112,16.2815,497,NA,0.0151681,-0.00199871,0.0168496,EEurope,NA,NA
430,Gr-1,AUT,47,15.5,330,NA,0.0133222,-0.00105763,0.0152026,EEurope,NA,NA
628,LI-OF-061,USA,40.7777,-72.9069,7,NA,0.00822608,-0.0211171,0.000519335,NEEurope,NA,NA
630,LI-OF-065,USA,40.7777,-72.9069,7,NA,0.0104631,-0.0173167,0.00169979,CEurope,NA,NA
763,Kar-1,KGZ,42.3,74.3667,2467,-0.000346797,0.00865441,0.144461,0.0719597,Asia,0.4,0.857142857
765,Sus-1,KGZ,42.1833,73.4,2436,0.000121402,0.00848463,0.13973,0.0719737,Asia,1,1
766,Dja-1,KGZ,42.5833,73.6333,2995,-0.0007132,0.0108826,0.142232,0.0680689,Asia,1,1
768,Zal-1,KGZ,42.8,76.35,2520,-0.000118731,0.0100041,0.141367,0.0674104,Asia,0.8,1
772,Neo-6,TJK,37.35,72.4667,3571,-0.000199131,0.0106813,0.148492,0.0668988,Asia,1,1
801,KYC-33,USA,37.9169,-84.4639,289,NA,0.0104124,-0.0123419,0.001585,CEurope,NA,NA
870,MIC-31,USA,41.8266,-86.4366,228,NA,0.0118219,-0.0235418,0.00173035,NEEurope,NA,NA
915,LIN,USA,41.8972,-71.4378,77,NA,0.0129936,-0.0106134,0.0132259,CEurope,NA,NA
932,CHA-41,USA,42.3634,-71.1445,9,NA,0.00963279,-0.0242482,0.00163449,NEEurope,NA,NA
991,Ale-Stenar-41-1,SWE,55.3833,14.05,9,NA,0.0125221,-0.00576152,-0.0145048,SESweden,NA,NA
992,Ale-Stenar-44-4,SWE,55.3833,14.05,9,NA,0.0125713,-0.00566949,-0.0106988,SESweden,NA,NA
997,Ale-Stenar-56-14,SWE,55.3833,14.05,9,NA,0.0113126,-0.00368555,-0.0132222,SESweden,NA,NA
1002,Ale-Stenar-64-24,SWE,55.3833,14.05,9,NA,0.0127107,-0.00441537,-0.0146203,SESweden,NA,NA
1006,Ale-Stenar-77-31,SWE,55.3833,14.05,9,NA,0.0126534,-0.00849147,-0.0147478,SESweden,NA,NA
1061,BrÌ¦sarp-11-135,SWE,55.7167,14.1333,42,NA,0.011594,-0.00281042,-0.00908494,SESweden,NA,NA
1062,BrÌ¦sarp-15-138,SWE,55.7167,14.1333,42,NA,0.0136384,-0.0105691,-0.0213645,SWSweden,NA,NA
1063,BrÌ¦sarp-21-140,SWE,55.7167,14.1333,42,NA,0.0123913,-0.00276065,-0.00521092,SESweden,NA,NA
1066,BrÌ¦sarp-34-145,SWE,55.7167,14.1333,42,NA,0.0122013,-0.00585241,-0.00490696,SESweden,NA,NA
1070,BrÌ¦sarp-45-153,SWE,55.7167,14.1333,42,NA,0.0130559,-0.00468906,-0.00241685,SESweden,NA,NA
1158,Aledal-6-49,SWE,56.7,16.5167,39,NA,0.0101708,0.000333005,-0.0151887,SESweden,NA,NA
1166,Aledal-14-73,SWE,56.7,16.5167,39,NA,0.00982728,-0.00214849,-0.0146884,SESweden,NA,NA
1254,Tos-82-387,SWE,59.4333,17.0167,41,NA,0.00601278,0.0196581,-0.0725682,NSweden,NA,NA
1257,Tos-95-393,SWE,59.4333,17.0167,41,NA,0.00715714,0.0152883,-0.0586357,NSweden,NA,NA
1313,ÌãngsÌ¦-59-422,SWE,59.5667,16.8667,11,NA,0.00749377,0.0152313,-0.0490845,SESweden,NA,NA
1317,ÌãngsÌ¦-74-430,SWE,59.5667,16.8667,11,NA,0.00528493,0.0134431,-0.0513228,SESweden,NA,NA
1552,Sku-30,SWE,63.0833,18.3667,126,NA,0.00518021,0.0542161,-0.110964,NSweden,NA,NA
1829,Mdn-1,USA,42.051,-86.509,193,NA,0.0119287,-0.0183187,0.00586744,NEEurope,NA,NA
1853,MNF-Pot-21,USA,43.595,-86.2657,265,NA,0.0122604,-0.0179347,0.00497054,NEEurope,NA,NA
1872,MNF-Pot-75,USA,43.595,-86.2657,265,NA,0.0109656,-0.0187598,0.00388331,NEEurope,NA,NA
1890,MNF-Riv-21,USA,43.5139,-86.1859,214,NA,0.0115984,0.101872,0.0409477,Asia,NA,NA
1925,MNF-Che-2,USA,43.5251,-86.1843,214,NA,0.0119152,0.00439893,0.00806988,NEEurope,NA,NA
1954,MNF-Jac-12,USA,43.5187,-86.1739,218,NA,0.0119043,-0.00197739,0.00781823,NEEurope,NA,NA
2016,MNF-Pin-39,USA,43.5356,-86.1788,217,NA,0.0112342,0.00237373,0.0169716,EEurope,NA,NA
2057,Map-42,USA,42.166,-86.412,195,NA,0.011517,-0.0221419,0.00220528,NEEurope,NA,NA
2171,Paw-26,USA,42.148,-86.431,193,NA,0.0115027,-0.0181361,0.00826145,NEEurope,NA,NA
2278,SLSP-35,USA,43.665,-86.496,178,NA,0.0112248,-0.0196968,0.00405268,NEEurope,NA,NA
2317,Ste-40,USA,42.03,-86.514,193,NA,0.0119451,-0.0217536,0.00635094,NEEurope,NA,NA
4779,UKSW06-179,UK,50.4,-4.9,123,NA,0.00901239,-0.0230217,0.000458885,NEEurope,NA,NA
4807,UKSW06-207,UK,50.4,-4.9,123,NA,0.00959427,-0.0192531,0.00313233,NEEurope,NA,NA
4884,UKSW06-285,UK,50.3,-4.9,74,NA,0.0102516,-0.0264309,0.00449475,NEEurope,NA,NA
4958,UKSW06-360,UK,50.5,-4.5,221,NA,0.00904206,-0.0197454,0.00206667,NEEurope,NA,NA
5104,UKSE06-252,UK,51.3,0.5,23,NA,0.013367,-0.0012741,0.0085889,CEurope,NA,NA
5151,UKSE06-325,UK,52.2,-1.7,39,-0.000121791,0.00943919,-0.0163772,-0.00241454,NEEurope,0.333333333,1
5165,UKSE06-362,UK,51.3,0.4,45,7.12E-05,0.0098538,-0.0129075,0.000265376,CEurope,0.166666667,1
5210,UKSE06-432,UK,51.2,0.3,20,NA,0.00886597,-0.0187472,0.00392693,CEurope,NA,NA
5279,UKSE06-541,UK,51.3,1.1,6,NA,0.00921185,-0.0253522,0.00276984,NEEurope,NA,NA
5349,UKSE06-639,UK,51.1,0.4,65,NA,0.0100121,-0.0153789,0.00308455,CEurope,NA,NA
5353,UKNW06-003,UK,54.5,-3,769,NA,0.0108303,-0.0268609,0.00490172,NEEurope,NA,NA
5486,UKNW06-233,UK,54.6,-3.3,205,NA,0.0137064,-0.000223001,0.00884088,CEurope,NA,NA
5577,UKNW06-403,UK,54.7,-3.4,94,NA,0.0109851,-0.027332,0.00624774,NEEurope,NA,NA
5644,UKNW06-481,UK,54.4,-2.9,189,NA,0.0106996,-0.0197756,0.00434475,NEEurope,NA,NA
5741,For-2,UK,56.6,-4.1,412,NA,0.00927767,-0.017328,-0.00375265,CEurope,NA,NA
5768,UKID63,UK,54.1,-1.5,27,0.000327979,0.011247,-0.0168219,-0.00294078,CEurope,0.166666667,1
5772,Set-1,UK,54.1,-2.3,293,-0.000318233,0.0132389,-0.0172846,0.0139535,CEurope,0.142857143,0.833333333
5779,UKID74,UK,51,-3.1,33,NA,0.010272,-0.0203578,0.00276496,CEurope,NA,NA
5784,Ty-1,UK,56.4,-5.2,152,-2.77E-05,0.00196302,-0.000820043,-0.0372237,CEurope,0.5,0.857142857
5800,UKID96,UK,57.4,-5.5,97,NA,0.0130136,-0.014155,0.0095439,CEurope,NA,NA
5811,UKID107,UK,52.9,-3.1,265,-0.00038985,0.0110802,-0.0166737,0.0031577,CEurope,0,0.857142857
5830,App1-12,SWE,56.3333,15.9667,19,NA,0.0121024,-0.00291142,0.00436281,SESweden,NA,NA
5831,App1-14,SWE,56.3333,15.9667,19,NA,0.0107302,0.000300548,-0.0100481,SESweden,NA,NA
5832,App1-16,SWE,56.3333,15.9667,19,NA,0.00956568,-0.00524213,-0.0203681,SESweden,NA,NA
